"barcode","dataset","PAX8","GATA3","ESR1"
"TCGA-A8-A06T-01A-11R-A00Z-07","BRCA.mRNA",-0.806333333333333,2.375375,5.27391666666667
"TCGA-A8-A06U-01A-11R-A00Z-07","BRCA.mRNA",-0.32625,2.674125,4.33925
"TCGA-A8-A06X-01A-21R-A00Z-07","BRCA.mRNA",-0.05,3.715125,4.947
"TCGA-A8-A06Y-01A-21R-A00Z-07","BRCA.mRNA",0.72625,2.975125,5.25875
"TCGA-A8-A06Z-01A-11R-A00Z-07","BRCA.mRNA",-0.418,1.44025,4.4275
"TCGA-A8-A075-01A-11R-A084-07","BRCA.mRNA",0.3365,1.710625,1.47258333333333
"TCGA-A8-A076-01A-21R-A00Z-07","BRCA.mRNA",-0.284,1.62275,1.89566666666667
"TCGA-A8-A079-01A-21R-A00Z-07","BRCA.mRNA",0.67075,2.59625,5.36833333333333
"TCGA-A8-A07B-01A-11R-A00Z-07","BRCA.mRNA",0.27175,2.115375,3.03133333333333
"TCGA-A8-A07C-01A-11R-A034-07","BRCA.mRNA",-0.097,-4.39275,-3.456
"TCGA-A8-A07E-01A-11R-A034-07","BRCA.mRNA",-0.00650000000000002,1.210625,4.13566666666667
"TCGA-A8-A07F-01A-11R-A00Z-07","BRCA.mRNA",0.04675,1.926625,3.25716666666667
"TCGA-A8-A07G-01A-11R-A034-07","BRCA.mRNA",-0.1085,1.7355,4.65716666666667
"TCGA-A8-A07I-01A-11R-A00Z-07","BRCA.mRNA",-0.88525,1.544,3.97508333333333
"TCGA-A8-A07J-01A-11R-A00Z-07","BRCA.mRNA",-0.5515,2.47175,2.48816666666667
"TCGA-A8-A07L-01A-11R-A040-07","BRCA.mRNA",-0.17425,2.15475,5.78758333333333
"TCGA-A8-A07O-01A-11R-A00Z-07","BRCA.mRNA",0.64,-2.05,-1.67058333333333
"TCGA-A8-A07P-01A-11R-A00Z-07","BRCA.mRNA",0.674,1.136,4.75741666666667
"TCGA-A8-A07R-01A-21R-A034-07","BRCA.mRNA",-0.978,-0.931375,-4.41533333333333
"TCGA-A8-A07S-01A-11R-A034-07","BRCA.mRNA",-0.50825,2.733375,4.61841666666667
"TCGA-A8-A07U-01A-11R-A034-07","BRCA.mRNA",1.18825,-0.690625,-0.456666666666667
"TCGA-A8-A07W-01A-11R-A00Z-07","BRCA.mRNA",-0.17825,0.88925,5.12
"TCGA-A8-A07Z-01A-11R-A00Z-07","BRCA.mRNA",1.2015,3.146,4.397
"TCGA-A8-A081-01A-11R-A00Z-07","BRCA.mRNA",-0.19875,1.476875,4.81091666666667
"TCGA-A8-A082-01A-11R-A00Z-07","BRCA.mRNA",-0.61825,2.340375,3.53408333333333
"TCGA-A8-A083-01A-21R-A00Z-07","BRCA.mRNA",0.07325,3.867625,5.903
"TCGA-A8-A084-01A-21R-A00Z-07","BRCA.mRNA",0.65,2.325375,4.13025
"TCGA-A8-A085-01A-11R-A00Z-07","BRCA.mRNA",1.02875,2.07175,4.26625
"TCGA-A8-A086-01A-11R-A00Z-07","BRCA.mRNA",0.4935,1.814875,3.98041666666667
"TCGA-A8-A08A-01A-11R-A00Z-07","BRCA.mRNA",-0.81625,2.41475,4.51558333333333
"TCGA-A8-A08B-01A-11R-A00Z-07","BRCA.mRNA",-0.2615,2.15,2.43725
"TCGA-A8-A08C-01A-11R-A00Z-07","BRCA.mRNA",-1.2295,2.650125,5.09175
"TCGA-A8-A08F-01A-11R-A00Z-07","BRCA.mRNA",-0.83,1.50675,4.2345
"TCGA-A8-A08G-01A-11R-A00Z-07","BRCA.mRNA",0.01875,3.3445,4.48475
"TCGA-A8-A08H-01A-21R-A00Z-07","BRCA.mRNA",0.1725,-1.3665,2.27383333333333
"TCGA-A8-A08I-01A-11R-A00Z-07","BRCA.mRNA",0.50225,1.404625,5.25116666666667
"TCGA-A8-A08J-01A-11R-A00Z-07","BRCA.mRNA",-0.11675,2.34275,0.58725
"TCGA-A8-A08L-01A-11R-A00Z-07","BRCA.mRNA",-1.11175,0.88225,1.58833333333333
"TCGA-A8-A08O-01A-21R-A056-07","BRCA.mRNA",-0.84825,2.413375,2.84766666666667
"TCGA-A8-A08P-01A-11R-A00Z-07","BRCA.mRNA",-0.2515,0.919875,2.99541666666667
"TCGA-A8-A08R-01A-11R-A034-07","BRCA.mRNA",-0.3895,-3.77425,-2.972
"TCGA-A8-A08S-01A-11R-A034-07","BRCA.mRNA",0.55875,2.62875,4.60983333333333
"TCGA-A8-A08T-01A-21R-A00Z-07","BRCA.mRNA",0.45175,2.28425,4.20833333333333
"TCGA-A8-A08X-01A-21R-A00Z-07","BRCA.mRNA",0.1145,-1.908375,-1.59041666666667
"TCGA-A8-A08Z-01A-21R-A00Z-07","BRCA.mRNA",0.4225,2.436625,2.87291666666667
"TCGA-A8-A090-01A-11R-A00Z-07","BRCA.mRNA",-0.54225,2.420125,4.75333333333333
"TCGA-A8-A091-01A-11R-A00Z-07","BRCA.mRNA",0.98975,3.507375,4.4125
"TCGA-A8-A092-01A-11R-A00Z-07","BRCA.mRNA",-0.79525,1.57875,1.894
"TCGA-A8-A093-01A-11R-A00Z-07","BRCA.mRNA",-0.463,2.265,4.47925
"TCGA-A8-A094-01A-11R-A00Z-07","BRCA.mRNA",0.363,-0.40325,1.05741666666667
"TCGA-A8-A095-01A-11R-A00Z-07","BRCA.mRNA",0.480666666666667,2.12175,4.03775
